Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,930,,INORG_RCY_OS,,2019,,0.0561,0.0561,0.1101,0.0563,,,,,,,,,,,0.117265,,,,0.122171,0.117265,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2020,,,0.0561,0.1073,0.0564,,,,,,,,,,,0.114307,,,,0.122388,0.114307,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2021,,,0.0561,0.1044,0.0541,,,,,,,,,,,0.10669,,,,0.117397,0.10669,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2022,,,0.0561,0.1016,0.0573,,,,,,,,,,,0.109955,,,,0.124341,0.109955,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2023,,,0.0561,0.0987,0.0606,,,,,,,,,,,0.113153,,,,0.131502,0.113153,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2024,,,0.0561,0.0959,0.064,,,,,,,,,,,0.116281,,,,0.13888,0.116281,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2025,,,0.0561,0.0931,0.0674,,,,,,,,,,,0.119158,,,,0.146258,0.119158,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2026,,,0.0561,0.0902,0.0709,,,,,,,,,,,0.121967,,,,0.153853,0.121967,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2027,,,0.0561,0.0874,0.0745,,,,,,,,,,,0.124706,,,,0.161665,0.124706,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2028,,,0.0561,0.0845,0.0781,,,,,,,,,,,0.127208,,,,0.169477,0.127208,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2029,,,0.0561,0.0817,0.0817,,,,,,,,,,,0.129485,,,,0.177289,0.129485,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2030,,0.0382,0.0943,0.117,0.0854,,,,,,,,,,,0.131701,,,,0.185318,0.131701,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2031,,,0.0943,0.1142,0.0871,,,,,,,,,,,0.130702,,,,0.189007,0.130702,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2032,,,0.0943,0.1114,0.0888,,,,,,,,,,,0.129661,,,,0.192696,0.129661,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2033,,,0.0943,0.1085,0.0904,,,,,,,,,,,0.12844,,,,0.196168,0.12844,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2034,,,0.0943,0.1057,0.0921,,,,,,,,,,,0.127328,,,,0.199857,0.127328,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2035,,,0.0943,0.1028,0.0938,,,,,,,,,,,0.126183,,,,0.203546,0.126183,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2036,,,0.0943,0.1,0.0954,,,,,,,,,,,0.124876,,,,0.207018,0.124876,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2037,,,0.0943,0.0971,0.0971,,,,,,,,,,,0.123676,,,,0.210707,0.123676,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2038,,0.0044,0.0987,0.0987,0.0987,,,,,,,,,,,0.122325,,,,0.214179,0.122325,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2039,,0.0611,0.1037,0.1037,0.1004,,,,,,,,,,,0.121078,,,,0.217868,0.121078,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2040,,,0.1037,0.1037,0.102,,,,,,,,,,,0.119692,,,,0.22134,0.119692,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2041,,,0.1037,0.1037,0.1037,,,,,,,,,,,0.118407,,,,0.225029,0.118407,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2042,,0.0016,0.1053,0.1053,0.1053,,,,,,,,,,,0.116994,,,,0.228501,0.116994,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2043,,0.0016,0.1069,0.1069,0.1069,,,,,,,,,,,0.11557,,,,0.231973,0.11557,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2044,,0.0017,0.1086,0.1086,0.1086,,,,,,,,,,,0.114243,,,,0.235662,0.114243,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2045,,0.0032,0.1118,0.1118,0.1102,,,,,,,,,,,0.112802,,,,0.239134,0.112802,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2046,,,0.1118,0.1118,0.1118,,,,,,,,,,,0.111355,,,,0.242606,0.111355,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2047,,0.0015,0.1133,0.1133,0.1133,,,,,,,,,,,0.109808,,,,0.245861,0.109808,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2048,,0.0016,0.1149,0.1149,0.1149,,,,,,,,,,,0.108357,,,,0.249333,0.108357,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2049,,0.0016,0.1165,0.1165,0.1165,,,,,,,,,,,0.106904,,,,0.252805,0.106904,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2050,,0.1213,0.1996,0.1996,0.118,,,,,,,,,,,0.105362,,,,0.25606,0.105362,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2051,,,0.1996,0.1996,0.1187,,,,,,,,,,,0.103131,,,,0.257579,0.103131,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2052,,,0.1996,0.1996,0.1193,,,,,,,,,,,0.100858,,,,0.258881,0.100858,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2053,,,0.1996,0.1996,0.1198,,,,,,,,,,,0.098551,,,,0.259966,0.098551,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2054,,,0.1996,0.1996,0.1204,,,,,,,,,,,0.096375,,,,0.261268,0.096375,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2055,,,0.1996,0.1996,0.1209,,,,,,,,,,,0.0941668,,,,0.262353,0.0941668,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2056,,,0.1996,0.1996,0.1213,,,,,,,,,,,0.0919318,,,,0.263221,0.0919318,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2057,,,0.1996,0.1996,0.1218,,,,,,,,,,,0.0898227,,,,0.264306,0.0898227,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2058,,,0.1952,0.1952,0.1222,,,,,,,,,,,0.0876887,,,,0.265174,0.0876887,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2059,,,0.1341,0.1341,0.1226,,,,,,,,,,,0.0856045,,,,0.266042,0.0856045,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2060,,,0.1341,0.1341,0.1229,,,,,,,,,,,0.083501,,,,0.266693,0.083501,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2061,,,0.1341,0.1341,0.1233,,,,,,,,,,,0.0815148,,,,0.267561,0.0815148,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2062,,,0.1325,0.1325,0.1235,,,,,,,,,,,0.0794463,,,,0.267995,0.0794463,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2063,,,0.1309,0.1309,0.1238,,,,,,,,,,,0.0774928,,,,0.268646,0.0774928,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2064,,,0.1292,0.1292,0.124,,,,,,,,,,,0.0755259,,,,0.26908,0.0755259,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2065,,,0.126,0.126,0.1242,,,,,,,,,,,0.0736087,,,,0.269514,0.0736087,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2066,,,0.126,0.126,0.1243,,,,,,,,,,,0.0716824,,,,0.269731,0.0716824,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2067,,,0.1245,0.1245,0.1245,,,,,,,,,,,0.0698626,,,,0.270165,0.0698626,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2068,,0.0016,0.1245,0.1245,0.1245,,,,,,,,,,,0.0679795,,,,0.270165,0.0679795,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2069,,0.0017,0.1246,0.1246,0.1246,,,,,,,,,,,0.0662004,,,,0.270382,0.0662004,,,,,,,,,,,,,,,,,
BAU,930,,INORG_RCY_OS,,2070,,0.1213,0.1246,0.1246,0.1246,,,,,,,,,,,0.064416,,,,0.270382,0.064416,,,,,,,,,,,,,,,,,
BAU,930,,COMPOST,,2019,,0.0051,0.0051,0.1249,0.1249,,,0.7905,0.769193,,,5.93275,5.69451,5.93275,,6.8833,,,,0.43715,0.419596,,,,,,,,0.9793,,7.3496,7.3496,,1.265146908158624e-05,,9.495003566575682e-05,9.495003566575682e-05,
BAU,930,,COMPOST,,2020,,0.0066,0.0117,0.1252,0.1252,,,1.023,0.968597,,,5.947,5.55433,5.947,,6.9322,,,,0.4382,0.409267,,,,,,,,1.2012,,6.9832,6.9832,,1.7072460270802752e-05,,9.924723482938805e-05,9.924723482938805e-05,
BAU,930,,COMPOST,,2021,,0.001,0.0127,0.1199,0.1199,,,0.155,0.142801,,,5.69525,5.17584,5.69525,,5.70002,,,,0.41965,0.381377,,,,,,,,0.1725,,6.339,6.339,,2.489640427976019e-06,,9.147822353180917e-05,9.147822353180917e-05,
BAU,930,,COMPOST,,2022,,0.0135,0.0262,0.1271,0.1271,,,2.0925,1.87586,,,6.03725,5.33876,6.03725,,7.608,,,,0.44485,0.393382,,,,,,,,2.2076,,6.3693,6.3693,,3.241094096207932e-05,,9.351156670170295e-05,9.351156670170295e-05,
BAU,930,,COMPOST,,2023,,0.0137,0.0399,0.1345,0.1345,,,2.1235,1.85234,,,6.38875,5.49732,6.38875,,7.75472,,,,0.47075,0.405066,,,,,,,,2.1235,,6.3887,6.3887,,3.193310975767614e-05,,9.607377205761876e-05,9.607377205761876e-05,
BAU,930,,COMPOST,,2024,,0.0138,0.0537,0.142,0.142,,,2.1021,1.78425,,,6.79892,5.69257,6.79892,,7.89295,,,,0.497,0.416126,,,,,,,,1.9925,,6.4445,6.4445,,3.0690579996667446e-05,,9.92639732414929e-05,9.92639732414929e-05,
BAU,930,,COMPOST,,2025,,0.0139,0.0676,0.1496,0.1496,,,2.08017,1.71804,,,7.21959,5.88186,7.21959,,8.02649,,,,0.5236,0.426581,,,,,,,,1.8689,,6.4865,6.4865,,2.9485827991549696e-05,,0.0001023356691566133,0.0001023356691566133,
BAU,930,,COMPOST,,2026,,0.014,0.0816,0.1573,0.1573,,,2.0577,1.65368,,,7.65091,6.06526,7.65091,,8.15538,,,,0.55055,0.436448,,,,,,,,1.7524,,6.5156,6.5156,,2.831778837447136e-05,,0.00010529078595136641,0.00010529078595136641,
BAU,930,,COMPOST,,2027,,0.0142,0.0958,0.1652,0.1652,,,2.04912,1.6024,,,8.09789,6.24657,8.09789,,8.29498,,,,0.5782,0.446013,,,,,,,,1.6541,,6.5368,6.5368,,2.7950478720842862e-05,,0.0001104571240965518,0.0001104571240965518,
