PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2053,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2054,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2055,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2056,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2057,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2058,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2059,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2060,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2061,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2062,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2063,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2064,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2065,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2066,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2067,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2068,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2069,,,,,,1
InputActivityRatio,BAU,Ecuador,Otras_tierras,Suelo,,1.0,2070,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2018,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2019,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2020,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2021,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2022,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2023,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2024,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2025,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2026,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2027,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2028,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2029,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2030,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2031,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2032,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2033,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2034,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2035,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2036,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2037,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2038,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2039,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2040,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2041,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2042,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2043,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2044,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2045,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2046,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2047,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2048,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2049,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2050,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2051,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2052,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2053,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2054,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2055,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2056,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2057,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2058,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2059,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2060,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2061,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2062,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2063,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2064,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2065,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2066,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2067,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2068,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2069,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_protegido,Bosque,,1.0,2070,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2018,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2019,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2020,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2021,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2022,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2023,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2024,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2025,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2026,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2027,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2028,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2029,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2030,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2031,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2032,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2033,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2034,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2035,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2036,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2037,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2038,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2039,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2040,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2041,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2042,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2043,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2044,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2045,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2046,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2047,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2048,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2049,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2050,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2051,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2052,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2053,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2054,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2055,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2056,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2057,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2058,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2059,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2060,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2061,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2062,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2063,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2064,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2065,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2066,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2067,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2068,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2069,,,,,,1
InputActivityRatio,BAU,Ecuador,Bosque_nativo_sinproteger,Bosque,,,2070,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2018,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2019,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2020,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2021,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2022,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2023,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2024,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2025,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2026,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2027,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2028,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2029,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2030,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2031,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2032,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2033,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2034,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2035,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2036,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2037,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2038,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2039,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2040,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2041,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2042,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2043,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2044,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2045,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2046,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2047,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2048,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2049,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2050,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2051,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2052,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2053,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2054,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2055,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2056,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2057,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2058,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2059,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2060,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2061,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2062,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2063,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2064,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2065,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2066,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2067,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2068,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2069,,,,,,1
InputActivityRatio,BAU,Ecuador,Plantacion_forestal,Bosque,,1.0,2070,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2018,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2019,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2020,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2021,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2022,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2023,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2024,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2025,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2026,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2027,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2028,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2029,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2030,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2031,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2032,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2033,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2034,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2035,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2036,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2037,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2038,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2039,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2040,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2041,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2042,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2043,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2044,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2045,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2046,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2047,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2048,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2049,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2050,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2051,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2052,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2053,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2054,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2055,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2056,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2057,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2058,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2059,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2060,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2061,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2062,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2063,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2064,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2065,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2066,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2067,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2068,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2069,,,,,,1
InputActivityRatio,BAU,Ecuador,Cultivos,Tierra_agropecuaria,,1.0,2070,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2018,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2019,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2020,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2021,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2022,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2023,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2024,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2025,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2026,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2027,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2028,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2029,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2030,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2031,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2032,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2033,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2034,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2035,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2036,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2037,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2038,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2039,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2040,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2041,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2042,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2043,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2044,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2045,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2046,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2047,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2048,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2049,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2050,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2051,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2052,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2053,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2054,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2055,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2056,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2057,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2058,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2059,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2060,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2061,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2062,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2063,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2064,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2065,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2066,,,,,,1
InputActivityRatio,BAU,Ecuador,Banano,Cultivos,,1.0,2067,,,,,,1
